Date,Open,High,Low,Close,Volume,Ticker,Fund_Name,Category,Style,SMA_20,SMA_50,SMA_200,Daily_Return,Volatility_20,Cumulative_Return
2023-03-17 00:00:00-04:00,105.41869354248047,105.41869354248047,105.41869354248047,105.41869354248047,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,104.25965995788575,103.59769714355468,,-0.7794849773696488,1.4958165840464093,14.315234451301407
2023-03-20 00:00:00-04:00,105.79965209960938,105.79965209960938,105.79965209960938,105.79965209960938,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,104.22404823303222,103.87878067016601,,0.3613766632152293,1.4819285827088182,14.728343031108192
2023-03-21 00:00:00-04:00,107.96947479248047,107.96947479248047,107.96947479248047,107.96947479248047,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,104.43688926696777,104.16350784301758,,2.050878854335192,1.4169466114556162,17.08128235826234
2023-03-22 00:00:00-04:00,106.36280822753906,106.36280822753906,106.36280822753906,106.36280822753906,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,104.55904502868653,104.40069763183594,,-1.4880748174698977,1.4670193305727417,15.339025279518225
2023-03-23 00:00:00-04:00,107.67133331298828,107.67133331298828,107.67133331298828,107.67133331298828,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,104.67705993652343,104.64053771972657,,1.2302468383966758,1.462488889285882,16.757979991457027
2023-03-24 00:00:00-04:00,107.50569915771484,107.50569915771484,107.50569915771484,107.50569915771484,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,104.88037719726563,104.83664993286133,,-0.15383310504009096,1.395081426271779,16.578367565454077
2023-03-27 00:00:00-04:00,107.14958953857422,107.14958953857422,107.14958953857422,107.14958953857422,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,105.03566055297851,105.00592926025391,,-0.33124720078160363,1.3969004857919467,16.192204986176616
2023-03-28 00:00:00-04:00,106.49531555175781,106.49531555175781,106.49531555175781,106.49531555175781,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,105.15698776245117,105.14440017700196,,-0.6106173524639269,1.4072354698913898,15.482715220320586
2023-03-29 00:00:00-04:00,108.50780487060547,108.50780487060547,108.50780487060547,108.50780487060547,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,105.41455154418945,105.31864883422851,,1.8897444534727637,1.4465104027241276,17.665043425916327
2023-03-30 00:00:00-04:00,109.49333190917969,109.49333190917969,109.49333190917969,109.49333190917969,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,105.67211532592773,105.53745330810547,,0.908254516575524,1.44539222396235,18.733741497262745
2023-03-31 00:00:00-04:00,111.34844207763672,111.34844207763672,111.34844207763672,111.34844207763672,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,105.92181091308593,105.81406448364258,,1.6942677112025128,1.4319581117896867,20.74540894175354
2023-04-03 00:00:00-04:00,111.35673522949219,111.35673522949219,111.35673522949219,111.35673522949219,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,106.19428176879883,106.03452545166016,,0.007447928054249431,1.4247578335729763,20.754401972940318
2023-04-04 00:00:00-04:00,110.82670593261719,110.82670593261719,110.82670593261719,110.82670593261719,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,106.4915985107422,106.19751113891601,,-0.47597417056335356,1.4064768877357723,20.179642209730897
2023-04-05 00:00:00-04:00,109.36080932617188,109.36080932617188,109.36080932617188,109.36080932617188,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,106.68911819458008,106.33747299194336,,-1.322692571352413,1.4501569897866597,18.59003500994487
2023-04-06 00:00:00-04:00,109.9239730834961,109.9239730834961,109.9239730834961,109.9239730834961,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,107.03198318481445,106.48969192504883,,0.5149593906575545,1.3345558350583204,19.20072553161265
2023-04-10 00:00:00-04:00,110.20555114746094,110.20555114746094,110.20555114746094,110.20555114746094,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,107.48955078125,106.61110260009765,,0.2561571021008957,1.2223061714139956,19.506066655817666
